地区(大区),省/直辖市,城市/区县,产业分类,紧缺岗位名称,需求程度,学历要求,专业要求,薪资参考/政策补贴,缺口人数,文件年份
华东地区,安徽,安徽省,,软件工程师（C++）,3,硕士,计算机技术及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,生物发酵研发工程师,2,硕士,生物发酵及化学相关专业,10-20万,,2023
华东地区,安徽,安徽省,,药理学研究员,2,硕士,药理学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,药效学研究员,2,硕士,医学、临床药理学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,光刻胶研发工程师,2,硕士,化学、材料、高分子及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,碳化硅材料合成工程师,2,硕士,物理、材料、材料工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,半导体设备工程师,2,硕士,物理、材料、材料工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,金属材料工程师,3,硕士,金属材料及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,电磁仿真工程师,3,硕士,机械工程、电力电子及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,材料研发工程师,3,硕士,化工专业、有机材料及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,面料研发工程师,2,硕士,纺织工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,茶叶审评师,3,硕士,茶艺及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,调味品研发工程师,3,硕士,食品及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,油脂研发人员,2,硕士,粮油及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,设备工程师,2,硕士,机械、电气、自动化及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,塑料制品配方工程师,2,硕士,高分子材料、机械设计及相关专业,10-20万,,2023
华东地区,安徽,安徽省,保险业,市场营销策划员,2,硕士,市场营销及相关专业,20-50万,,2023
华东地区,安徽,安徽省,货币金融服务（包括银行等）,法律风险防控专家,3,硕士,法律及相关专业,10-20万,,2023
华东地区,安徽,安徽省,资本市场服务（包括证券、基金等）,保荐代表人,3,硕士,金融、信息技术类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,证券分析师,3,硕士,金融、信息技术类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,高级投资管理人员,3,硕士,金融、经济、理工科类相关专业,20-50万,,2023
华东地区,安徽,安徽省,,前端开发工程师,3,硕士,计算机类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,大数据开发工程师,3,硕士,计算机类、数学类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,风险管理师,2,硕士,金融审计及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,产业研究员,2,硕士,金融、经济、理工科类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,其它金融业（包括信托等）,保理业务员,3,硕士,经济类、财务类相关专业,10-20万,,2023
华东地区,安徽,安徽省,,艺术设计类专职教师,2,硕士,艺术设计类及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,经管类专职教师,2,硕士,经济类、管理类及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,计算机专职教师,2,硕士,计算机科学与技术、计算机技术及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,学前教育专职教师,2,硕士,学前教育及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,体育专业教师,2,硕士,乒乓球、篮球及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,专职辅导员,2,硕士,马克思主义、哲学、社会学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,殡葬技术与管理专职教师,2,硕士,殡葬技术与管理及相关专业,10-20万,,2023
华东地区,安徽,安徽省,公立医院,口腔科医师,2,硕士,口腔医学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,胸外科医师,2,硕士,胸外专业及相关专业,10-20万,,2023
华东地区,安徽,安徽省,民营医院,内科医师,3,硕士,内科学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,检验技师,3,硕士,卫生检验与检疫学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,麻醉医师,3,硕士,麻醉学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,宣传策划专员,2,硕士,新闻类及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,编辑,3,硕士,播音主持及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,书画研究员,3,硕士,设计、美术及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,创意策划员,3,硕士,营销策划、文化产业、旅游管理及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,考古发掘与研究员,2,硕士,考古学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,新闻和出版发行（含事业单位等）,编辑,3,硕士,文学、教育及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,版权管理人员,3,硕士,知识产权及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,媒体信息技术工程师,2,硕士,计算机、人工智能及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,催化剂研发员,3,硕士,化学工程与工艺、无机非金属材料工程及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,高分子材料研发工程师,3,硕士,有机化学、材料科学与工程、材料工程及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,创业导师,3,硕士,经济金融、管理类相关专业,20-50万,,2023
华东地区,安徽,安徽省,技术推广服务,催化技术开发工程师,3,硕士,能源化学工程及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,嵌入式开发工程师,2,硕士,电子信息工程、信号处理、通信工程、计算机科学与技术及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,资料撰写师,2,硕士,汉语言文学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,预审员,2,硕士,信息与通信工程及相关专业,10-20万,,2023
华东地区,安徽,安徽省,工程及技术研究和试验发展,成像系统工程师,3,硕士,电子、通信、信号、微波、计算机及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,天线研发工程师,3,硕士,电子、通信、微波技术、物理、电磁场及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,视觉算法工程师,2,硕士,计算机及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,无人机飞控设计工程师,2,硕士,自动化及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,作物遗传育种研究员,3,硕士,化学、植物保护、食品、生物及相关专业,20-50万,,2023
华东地区,安徽,安徽省,医学研究和试验发展,蛋白纯化工程师,3,硕士,分子生物学、细胞生物学、免疫学、生物化学等生物及相关专业,10-20万,,2023
华东地区,安徽,安徽省,工程及技术研究和试验发展,半导体技术工程师,3,硕士,微电子及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,药物合成研究员,3,硕士,有机化学、材料及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,试剂研发工程师,2,硕士,生物及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,DMPK总监,2,硕士,药物代谢与药代动力学及相关专业,50-100万,,2023
华东地区,安徽,安徽省,,系统设计工程师,3,硕士,天文类、物理、空间物理、地球物理、电子信息、光纤通信类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,电机工程师,2,硕士,电子工程、仪器科学与技术、机械工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,标准化工程师,3,硕士,理工类相关专业,10-20万,,2023
华东地区,安徽,安徽省,,药品检验研究员,2,硕士,药学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,储量评估员,2,硕士,固体矿产勘查及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,大气数据分析工程师,2,硕士,环境、大气科学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,地球物理学专业技术员,2,硕士,地球物理学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,GIS开发工程师,3,硕士,地信、测绘及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,电子信息高级工程师,2,硕士,通信、电子信息类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,工艺工程师,3,硕士,环境工程、给水排水工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,机电工程师,3,硕士,机电及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,水生态治理工程师,2,硕士,环境类相关专业,10-20万,,2023
华东地区,安徽,安徽省,,智慧水利学科带头人,2,硕士,水利、计算机及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,空间规划员,3,硕士,城乡规划及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,森林病虫害防治工程师,2,大专,森林资源保护及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,石斛种植农艺师,2,大专,农业种植类、食品研发及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,自动化养殖技工,3,大专,自动化及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,羽绒加工技术员,2,大专,纺织工程及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,药品检验员,2,大专,生物医学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,整车制造,汽车机械维修师,3,大专,自动化、机械制造及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,CAM工程师,2,大专,计算机及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,人工智能操作技术工,2,大专,电子信息及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,电缆技术工,2,大专,电力电缆及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,CNC操作工,3,大专,数控及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,计划主管,2,大专,物流仓储及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,铸造工程师,2,大专,铸造及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,服装质量工程师,3,大专,生产或质量管理及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,缝纫车工,3,大专,不限,10-20万,,2023
华东地区,安徽,安徽省,,成型技术工,2,大专,不限,10-20万,,2023
华东地区,安徽,安徽省,,印染技术工,2,大专,不限,10-20万,,2023
华东地区,安徽,安徽省,,喷漆技术员,2,大专,不限,10-20万,,2023
华东地区,安徽,安徽省,,厨师,3,大专,不限,10-20万,,2023
华东地区,安徽,安徽省,,保育员,2,大专,保育教育及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,舞蹈演员,3,大专,舞蹈表演及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,消防工程师,3,大专,电气工程、电子信息工程、通信工程、安全工程、工业工程及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,物业主管,3,大专,管理及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,电子商务运营专员,2,大专,电子商务及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,水文勘测工,2,大专,机电一体化、电气工程与自动化、水文水资源及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,光学工程师,2,博士,光电信息工程相关专业,20-50万,,2023
华东地区,安徽,安徽省,,电芯研发专家,2,博士,化学类相关专业,50-100万,,2023
华东地区,安徽,安徽省,,人工智能工程师,3,博士,人工智能、运筹学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,化工研发工程师,3,博士,化工有机合成及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,高分子合成研发工程师,3,博士,高分子及相关专业,20-50万,,2023
华东地区,安徽,安徽省,高职高专院校,电气工程专职教师,3,博士,电气工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,医学类专任教师,3,博士,医学门类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,化工类专职教师,2,博士,化工类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,船舶与海洋工程专职教师,2,博士,船舶与海洋工程、海洋科学与技术、港口、海岸及近海工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,心血管内科医师,3,博士,临床医学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,公卫医师,3,博士,公共卫生与预防医学类及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,高温超导磁体研发工程师,3,博士,高能物理及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,环境监测与治理研究员,2,博士,环境科学、光学、环境监测及相关专业,50-100万,,2023
华东地区,安徽,安徽省,社会人文科学研究,经管、金融博士后研究员,3,博士,经济管理、金融、计算机大数据及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,流体力学博士后研究员,3,博士,生物医学工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,医学研究和试验发展,泵博士后研究人员,3,博士,机电控制及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,机电控制博士后研究员,3,博士,机电控制及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,生命科学研究员,3,博士,生命科学、生物医学工程及相关专业,50-100万,,2023
华东地区,安徽,安徽省,,放射学研究员,2,博士,医学物理、核科学、核工程、核物理及相关专业,50-100万,,2023
华东地区,安徽,安徽省,,材料研究员,2,博士,材料及相关专业,50-100万,,2023
华东地区,安徽,安徽省,,生物医学研究员,2,博士,生命科学、生物医学工程及相关专业,50-100万,,2023
华东地区,安徽,安徽省,,光学研究员,2,博士,光学工程、物理学、电子工程及相关专业,50-100万,,2023
华东地区,安徽,安徽省,,桥梁检测工程师,2,博士,桥梁、隧道、评估及相关专业,50-100万,,2023
华东地区,安徽,安徽省,种植,草莓种植技术员,2,本科,园林及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,茶叶品控师,2,本科,茶学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,瓜蒌种植技术农医师,2,本科,瓜蒌种植及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,火龙果种植农艺师,2,本科,农业种植及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,菌菇培养农艺师,2,本科,农学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,粮油农艺师,2,本科,种植及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,农田水利工程建设与管理工程师,2,本科,水利水电工程及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,农业经济师,2,本科,农业经济学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,农业植保师,2,本科,农学、植保及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,品种筛选员,2,本科,农学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,生物防治农艺师,2,本科,植物病害防治及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,销售员,2,本科,农学类、市场营销、电子商务及相关专业,10-20万,,2023
华东地区,安徽,安徽省,养殖,兽医,3,本科,畜牧兽医及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,中级设备工程师,3,本科,机电及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,食品加工部总监,3,本科,食品类相关专业,20-50万,,2023
华东地区,安徽,安徽省,,防疫技术员,3,本科,畜牧、动物防疫与检疫及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,淡水虾养殖技术员,3,本科,水产养殖及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,诊断检测专员,3,本科,畜牧兽医、动物医学、食品科学、检测、医学及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,牛养殖技术员,3,本科,畜牧兽医及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,育肥养殖技术员,3,本科,临床兽医、动物科学、动物医学、动物检疫及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,管理人员,3,本科,经济、管理及相关专业,10-20万,,2023
华东地区,安徽,安徽省,养殖养殖,遗传育种技术人员,3,本科,畜牧及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,冷链技术员,2,本科,冷链及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,饲料配方技术员,2,本科,动物生产及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,蛋鸡养殖技术员,2,本科,畜牧兽医及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,水产养殖技术员,2,本科,淡水养殖及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,销售员,2,本科,市场营销、畜牧兽医及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,河蚌育珠技术员,2,本科,水产养殖及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,有机肥技术员,2,本科,资源和环境及相关专业,10-20万,,2023
华东地区,安徽,安徽省,,采购工程师,3,本科,车辆、机械、材料、电子、项目管理及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,产品管理工程师,3,本科,车辆工程、机械工程、电气工程、自动化电子科学与技术及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,动力总成工程师,2,本科,车辆工程、机械工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,工艺工程师,2,本科,车辆工程、机械类、自动化、电气及相专业,10-20万,,2023
华东地区,安徽,安徽省,,技术服务工程师,2,本科,车辆工程、机械工程、电气工程、自动化电子科学与技术及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,嵌入式软件工程师,2,本科,软件开发及相关专业,20-50万,,2023
华东地区,安徽,安徽省,整车制造,质量工程师,2,本科,车辆工程、电子工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,智能网联工程师,2,本科,车辆工程、机械工程及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,研发工程师,2,本科,车辆工程、机械工程、材料科学与工程、动力工程、工程热物理及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,机电设备工程师,2,本科,自动化、机械制造及相关专业,10-20万,,2023
华东地区,安徽,安徽省,零部件及配件制造,PE工程师,3,本科,机械设计与制造及其自动化、工业工程机电一体化及相关专业,10-20万,,2023
华东地区,安徽,安徽省,零部件及配件制造,材料研发工程师,3,本科,材料学及相关专业,20-50万,,2023
华东地区,安徽,安徽省,,产品研发工程师,3,本科,机械工程、机电自动化及相关专业,10-20万,,2023
华东地区,安徽,安徽省,制造零部件及配件制造,齿轴工程师,3,本科,自动化、机械一体化、车辆工程及相关业,10-20万,,2023
