院系名称,全校毕业生_毕业人数,全校毕业生_就业数,全校毕业生_毕业去向落实率,本科生毕业_毕业人数,本科生毕业_就业数,本科生毕业_毕业去向落实率,毕业研究生_毕业人数,毕业研究生_就业数,毕业研究生_毕业去向落实率,博士生毕业_毕业人数,博士生毕业_就业数,博士生毕业_毕业去向落实率,硕士生毕业_毕业人数,硕士生毕业_就业数,硕士生毕业_毕业去向落实率,年份
艺术学院,325,276,0.8492,245,205,0.8367,80,71,0.8875,-,-,-,80,71,0.8875,2025
管理科学与房地产学院,619,596,0.9628,237,223,0.9409,382,373,0.9764,15,11,0.7333,367,362,0.9864,2025
航空航天学院,205,181,0.8829,120,99,0.825,85,82,0.9647,15,14,0.9333,70,68,0.9714,2025
材料科学与工程学院,626,544,0.869,281,221,0.7865,345,323,0.9362,68,57,0.8382,277,266,0.9603,2025
经济与工商管理学院,1045,1014,0.9703,276,260,0.942,769,754,0.9805,33,28,0.8485,736,726,0.9864,2025
公共管理学院,561,515,0.918,161,142,0.882,400,373,0.9325,22,15,0.6818,378,358,0.9471,2025
微电子与通信工程学院,455,433,0.9516,282,261,0.9255,173,172,0.9942,10,10,1,163,162,0.9939,2025
计算机学院,497,454,0.9135,315,276,0.8762,182,178,0.978,15,13,0.8667,167,165,0.988,2025
土木工程学院,1049,923,0.8799,526,437,0.8308,523,486,0.9293,77,70,0.9091,446,416,0.9327,2025
大数据与软件学院,359,335,0.9331,250,228,0.912,109,107,0.9817,7,6,0.8571,102,101,0.9902,2025
生命科学学院,106,85,0.8019,40,34,0.85,66,51,0.7727,11,6,0.5455,55,45,0.8182,2025
机械与运载工程学院,1102,1030,0.9347,549,486,0.8852,553,544,0.9837,65,58,0.8923,488,486,0.9959,2025
资源与安全学院,252,232,0.9206,83,76,0.9157,169,156,0.9231,30,24,0.8,139,132,0.9496,2025
生物工程学院,335,261,0.7791,130,100,0.7692,205,161,0.7854,35,30,0.8571,170,131,0.7706,2025
新闻学院,198,161,0.8131,103,80,0.7767,95,81,0.8526,4,3,0.75,91,78,0.8571,2025
光电工程学院,341,323,0.9472,142,129,0.9085,199,194,0.9749,33,30,0.9091,166,164,0.988,2025
自动化学院,457,433,0.9475,267,245,0.9176,190,188,0.9895,19,18,0.9474,171,170,0.9942,2025
数学与统计学院,349,321,0.9198,220,199,0.9045,129,122,0.9457,15,14,0.9333,114,108,0.9474,2025
物理学院,247,217,0.8785,157,130,0.828,90,87,0.9667,25,25,1,65,62,0.9538,2025
药学院,130,118,0.9077,57,49,0.8596,73,69,0.9452,9,7,0.7778,64,62,0.9688,2025
重庆大学-辛辛那提大学联合学院,102,98,0.9608,102,98,0.9608,-,-,-,-,-,-,-,-,-,2025
能源与动力工程学院,425,407,0.9576,232,218,0.9397,193,189,0.9793,28,26,0.9286,165,163,0.9879,2025
电气工程学院,652,637,0.977,315,304,0.9651,337,333,0.9881,45,43,0.9556,292,290,0.9932,2025
体育学院,44,39,0.8864,28,24,0.8571,16,15,0.9375,-,-,-,16,15,0.9375,2025
美视电影学院,318,277,0.8711,244,212,0.8689,74,65,0.8784,-,-,-,74,65,0.8784,2025
外国语学院,180,152,0.8444,121,102,0.843,59,50,0.8475,-,-,-,59,50,0.8475,2025
博雅学院&人文社会科学高等研究院,96,78,0.8125,56,43,0.7679,40,35,0.875,-,-,-,40,35,0.875,2025
医学院,95,79,0.8316,-,-,-,95,79,0.8316,4,4,1,91,75,0.8242,2025
国家卓越工程师学院,24,24,1.0,24,24,1,-,-,-,-,-,-,-,-,-,2025
法学院,369,324,0.878,145,118,0.8138,224,206,0.9196,15,15,1,209,191,0.9139,2024
马克思主义学院,44,40,0.9091,-,-,-,44,40,0.9091,2,2,1,42,38,0.9048,2024
建筑城规学院,458,399,0.8712,217,178,0.8203,241,221,0.917,7,6,0.8571,234,215,0.9188,2024
环境与生态学院,439,427,0.9727,196,191,0.9745,243,236,0.9712,27,26,0.963,216,210,0.9722,2024
化学化工学院,376,347,0.9229,167,143,0.8563,209,204,0.9761,43,41,0.9535,166,163,0.9819,2024
艺术学院,293,237,0.8089,237,185,0.7806,56,52,0.9286,-,-,-,56,52,0.9286,2024
管理科学与房地产学院,577,563,0.9757,232,224,0.9655,345,339,0.9826,14,14,1,331,325,0.9819,2024
航空航天学院,173,161,0.9306,108,97,0.8981,65,64,0.9846,11,11,1,54,53,0.9815,2024
材料科学与工程学院,606,554,0.9142,293,246,0.8396,313,308,0.984,61,60,0.9836,252,248,0.9841,2024
经济与工商管理学院,961,922,0.9594,298,274,0.9195,663,648,0.9774,37,33,0.8919,626,615,0.9824,2024
公共管理学院,559,536,0.9589,168,158,0.9405,391,378,0.9668,9,9,1,382,369,0.966,2024
微电子与通信工程学院,459,433,0.9434,278,255,0.9173,181,178,0.9834,19,19,1,162,159,0.9815,2024
计算机学院,487,460,0.9446,295,272,0.922,192,188,0.9792,14,13,0.9286,178,175,0.9831,2024
土木工程学院,932,863,0.926,469,415,0.8849,463,448,0.9676,54,51,0.9444,409,397,0.9707,2024
大数据与软件学院,348,329,0.9454,238,219,0.9202,110,110,1,5,5,1,105,105,1,2024
生命科学学院,76,66,0.8684,27,23,0.8519,49,43,0.8776,7,6,0.8571,42,37,0.881,2024
机械与运载工程学院,1108,1049,0.9468,495,441,0.8909,613,608,0.9918,54,54,1,559,554,0.9911,2024
资源与安全学院,234,223,0.953,104,98,0.9423,130,125,0.9615,32,31,0.9688,98,94,0.9592,2024
生物工程学院,362,314,0.8674,122,92,0.7541,240,222,0.925,30,29,0.9667,210,193,0.919,2024
新闻学院,226,187,0.8274,119,88,0.7395,107,99,0.9252,9,9,1,98,90,0.9184,2024
光电工程学院,403,386,0.9578,219,206,0.9406,184,180,0.9783,31,30,0.9677,153,150,0.9804,2024
自动化学院,461,447,0.9696,268,256,0.9552,193,191,0.9896,16,16,1,177,175,0.9887,2024
数学与统计学院,338,304,0.8994,208,174,0.8365,130,130,1,12,12,1,118,118,1,2024
物理学院,249,218,0.8755,173,146,0.8439,76,72,0.9474,22,20,0.9091,54,52,0.963,2024
药学院,104,97,0.9327,55,51,0.9273,49,46,0.9388,6,6,1,43,40,0.9302,2024
重庆大学-辛辛那提大学联合学院,105,94,0.8952,105,94,0.8952,-,-,-,-,-,-,-,-,-,2024
能源与动力工程学院,391,365,0.9335,213,189,0.8873,178,176,0.9888,32,32,1,146,144,0.9863,2024
电气工程学院,642,620,0.9657,331,310,0.9366,311,310,0.9968,60,59,0.9833,251,251,1,2024
体育学院,43,36,0.8372,30,23,0.7667,13,13,1,-,-,-,13,13,1,2024
美视电影学院,280,223,0.7964,223,172,0.7713,57,51,0.8947,-,-,-,57,51,0.8947,2024
外国语学院,239,206,0.8619,130,107,0.8231,109,99,0.9083,2,2,1,107,97,0.9065,2024
博雅学院&人文社会科学高等研究院,78,66,0.8462,39,33,0.8462,39,33,0.8462,2,2,1,37,31,0.8378,2024
医学院,54,45,0.8333,-,-,-,54,45,0.8333,2,2,1,52,43,0.8269,2024
国家卓越工程师学院,28,28,1.0,28,28,1,-,-,-,-,-,-,-,-,-,2024
法学院,314,264,0.8408,128,95,0.7422,186,169,0.9086,16,16,1,170,153,0.9,2023
马克思主义学院,42,40,0.9524,-,-,-,42,40,0.9524,1,1,1,41,39,0.9512,2023
建筑城规学院,430,392,0.9116,216,188,0.8704,214,204,0.9533,11,9,0.8182,203,195,0.9606,2023
环境与生态学院,410,405,0.9878,210,209,0.9952,200,196,0.98,23,23,1,177,173,0.9774,2023
化学化工学院,360,339,0.9417,150,135,0.9,210,204,0.9714,45,43,0.9556,165,161,0.9758,2023
艺术学院,273,220,0.8059,223,173,0.7758,50,47,0.94,-,-,-,50,47,0.94,2023
管理科学与房地产学院,518,510,0.9846,237,230,0.9705,281,280,0.9964,4,4,1,277,276,0.9964,2023
航空航天学院,173,147,0.8497,113,88,0.7788,60,59,0.9833,9,8,0.8889,51,51,1,2023
材料科学与工程学院,651,592,0.9094,351,299,0.8519,300,293,0.9767,56,55,0.9821,244,238,0.9754,2023
经济与工商管理学院,906,868,0.9581,277,257,0.9278,629,611,0.9714,40,38,0.95,589,573,0.9728,2023
公共管理学院,442,434,0.9819,150,150,1,292,284,0.9726,7,7,1,285,277,0.9719,2023
微电子与通信工程学院,413,381,0.9225,265,235,0.8868,148,146,0.9865,16,16,1,132,130,0.9848,2023
计算机学院,453,423,0.9338,290,267,0.9207,163,156,0.9571,16,16,1,147,140,0.9524,2023
土木工程学院,824,774,0.9393,432,396,0.9167,392,378,0.9643,50,48,0.96,342,330,0.9649,2023
大数据与软件学院,298,288,0.9664,213,203,0.9531,85,85,1,7,7,1,78,78,1,2023
生命科学学院,71,57,0.8028,25,18,0.72,46,39,0.8478,8,7,0.875,38,32,0.8421,2023
机械与运载工程学院,1042,968,0.929,510,445,0.8725,532,523,0.9831,81,79,0.9753,451,444,0.9845,2023
资源与安全学院,205,195,0.9512,105,96,0.9143,100,99,0.99,21,20,0.9524,79,79,1,2023
生物工程学院,286,251,0.8776,110,87,0.7909,176,164,0.9318,45,42,0.9333,131,122,0.9313,2023
新闻学院,193,161,0.8342,117,89,0.7607,76,72,0.9474,-,-,-,76,72,0.9474,2023
光电工程学院,387,363,0.938,222,199,0.8964,165,164,0.9939,36,36,1,129,128,0.9922,2023
自动化学院,410,397,0.9683,259,249,0.9614,151,148,0.9801,18,17,0.9444,133,131,0.985,2023
数学与统计学院,313,271,0.8658,173,138,0.7977,140,133,0.95,8,8,1,132,125,0.947,2023
物理学院,192,161,0.8385,132,105,0.7955,60,56,0.9333,17,17,1,43,39,0.907,2023
药学院,115,110,0.9565,46,41,0.8913,69,69,1,15,15,1,54,54,1,2023
重庆大学-辛辛那提大学联合学院,79,78,0.9873,79,78,0.9873,-,-,-,-,-,-,-,-,-,2023
能源与动力工程学院,354,333,0.9407,209,190,0.9091,145,143,0.9862,26,26,1,119,117,0.9832,2023
电气工程学院,571,542,0.9492,285,260,0.9123,286,282,0.986,46,45,0.9783,240,237,0.9875,2023
体育学院,50,43,0.86,31,27,0.871,19,16,0.8421,-,-,-,19,16,0.8421,2023
美视电影学院,283,245,0.8657,215,190,0.8837,68,55,0.8088,-,-,-,68,55,0.8088,2023
外国语学院,227,192,0.8458,121,102,0.843,106,90,0.8491,1,1,1,105,89,0.8476,2023
博雅学院&人文社会科学高等研究院,72,69,0.9583,37,34,0.9189,35,35,1,1,1,1,34,34,1,2023
弘深学院,114,114,1.0,114,114,1,-,-,-,-,-,-,-,-,-,2023
医学院,58,54,0.931,-,-,-,58,54,0.931,-,-,-,58,54,0.931,2023
法学院,325,306,0.9415,119,105,0.8824,206,201,0.9757,14,14,1,192,187,0.974,2022
马克思主义学院,37,36,0.973,-,-,-,37,36,0.973,-,-,-,37,36,0.973,2022
建筑城规学院,423,383,0.9054,219,188,0.8584,204,195,0.9559,5,5,1,199,190,0.9548,2022
环境与生态学院,407,376,0.9238,198,174,0.8788,209,202,0.9665,23,22,0.9565,186,180,0.9677,2022
化学化工学院,339,320,0.944,162,150,0.9259,177,170,0.9605,16,12,0.75,161,158,0.9814,2022
艺术学院,289,232,0.8028,228,181,0.7939,61,51,0.8361,-,-,-,61,51,0.8361,2022
管理科学与房地产学院,580,545,0.9397,266,236,0.8872,314,309,0.9841,22,19,0.8636,292,290,0.9932,2022
航空航天学院,181,160,0.884,115,97,0.8435,66,63,0.9545,13,13,1,53,50,0.9434,2022
材料科学与工程学院,637,579,0.9089,357,303,0.8487,280,276,0.9857,52,52,1,228,224,0.9825,2022
经济与工商管理学院,1106,1063,0.9611,360,325,0.9028,746,738,0.9893,30,29,0.9667,716,709,0.9902,2022
公共管理学院,549,528,0.9617,160,144,0.9,389,384,0.9871,6,5,0.8333,383,379,0.9896,2022
微电子与通信工程学院,459,429,0.9346,303,274,0.9043,156,155,0.9936,14,14,1,142,141,0.993,2022
计算机学院,498,475,0.9538,317,301,0.9495,181,174,0.9613,17,17,1,164,157,0.9573,2022
土木工程学院,872,798,0.9151,469,413,0.8806,403,385,0.9553,59,59,1,344,326,0.9477,2022
大数据与软件学院,329,312,0.9483,240,225,0.9375,89,87,0.9775,5,5,1,84,82,0.9762,2022
生命科学学院,66,60,0.9091,27,23,0.8519,39,37,0.9487,12,12,1,27,25,0.9259,2022
机械与运载工程学院,1117,1013,0.9069,576,481,0.8351,541,532,0.9834,59,55,0.9322,482,477,0.9896,2022
资源与安全学院,195,188,0.9641,93,92,0.9892,102,96,0.9412,24,21,0.875,78,75,0.9615,2022
生物工程学院,274,239,0.8723,96,74,0.7708,178,165,0.927,41,40,0.9756,137,125,0.9124,2022
新闻学院,187,153,0.8182,102,78,0.7647,85,75,0.8824,-,-,-,85,75,0.8824,2022
光电工程学院,374,353,0.9439,212,193,0.9104,162,160,0.9877,24,23,0.9583,138,137,0.9928,2022
自动化学院,420,412,0.981,260,253,0.9731,160,159,0.9938,15,14,0.9333,145,145,1,2022
数学与统计学院,251,240,0.9562,147,138,0.9388,104,102,0.9808,11,10,0.9091,93,92,0.9892,2022
物理学院,150,126,0.84,104,88,0.8462,46,38,0.8261,6,6,1,40,32,0.8,2022
药学院,102,96,0.9412,52,47,0.9038,50,49,0.98,11,11,1,39,38,0.9744,2022
重庆大学-辛辛那提大学联合学院,87,78,0.8966,87,78,0.8966,-,-,-,-,-,-,-,-,-,2022
能源与动力工程学院,371,343,0.9245,218,200,0.9174,153,143,0.9346,34,27,0.7941,119,116,0.9748,2022
电气工程学院,602,579,0.9618,313,293,0.9361,289,286,0.9896,45,43,0.9556,244,243,0.9959,2022
体育学院,51,48,0.9412,31,28,0.9032,20,20,1,-,-,-,20,20,1,2022
美视电影学院,294,276,0.9388,233,219,0.9399,61,57,0.9344,-,-,-,61,57,0.9344,2022
外国语学院,211,189,0.8957,121,111,0.9174,90,78,0.8667,-,-,-,90,78,0.8667,2022
博雅学院&人文社会科学高等研究院,79,74,0.9367,42,39,0.9286,37,35,0.9459,1,1,1,36,34,0.9444,2022
